SPoCA_v1.0_CH_0000039412;20230501;03:00:41;{"lat":-53.2003,"lng":-89.0327}#{"lat":-53.2527,"lng":-89.7817}#{"lat":-61.9064,"lng":-71.0783}#{"lat":-65.6909,"lng":-83.6654}#{"lat":-67.8352,"lng":-76.9313}#{"lat":-67.501,"lng":-87.0812}#{"lat":-53.2003,"lng":-89.0327}
SPoCA_v1.0_CH_0000039419;20230501;03:00:41;{"lat":7.49913,"lng":-53.17}#{"lat":7.53248,"lng":-53.1151}#{"lat":7.98064,"lng":-50.7653}#{"lat":11.2847,"lng":-48.4856}#{"lat":11.0207,"lng":-46.4132}#{"lat":5.10312,"lng":-42.9068}#{"lat":1.69529,"lng":-44.3612}#{"lat":-0.996282,"lng":-41.823}#{"lat":0.043115,"lng":-45.9228}#{"lat":3.94542,"lng":-46.485}#{"lat":4.82362,"lng":-50.5012}#{"lat":7.49913,"lng":-53.17}
SPoCA_v1.0_CH_0000039303;20230501;03:00:41;{"lat":61.5083,"lng":-80.9571}#{"lat":61.6106,"lng":-81.6067}#{"lat":66.6954,"lng":-79.4773}#{"lat":62.6197,"lng":-58.1765}#{"lat":61.5083,"lng":-80.9571}
SPoCA_v1.0_CH_0000039434;20230501;03:00:41;{"lat":17.8945,"lng":40.3875}#{"lat":17.9362,"lng":40.4488}#{"lat":22.2793,"lng":48.2605}#{"lat":16.9172,"lng":44.5685}#{"lat":16.6501,"lng":40.8997}#{"lat":17.8945,"lng":40.3875}
SPoCA_v1.0_CH_0000039432;20230501;03:00:41;{"lat":-18.1152,"lng":-24.0672}#{"lat":-18.0794,"lng":-24.0205}#{"lat":-16.7461,"lng":-21.3511}#{"lat":-17.0834,"lng":-16.2994}#{"lat":-14.8113,"lng":-13.9529}#{"lat":-13.2995,"lng":-10.0437}#{"lat":-14.8048,"lng":-9.31851}#{"lat":-15.7356,"lng":-11.0686}#{"lat":-17.353,"lng":-11.2785}#{"lat":-19.2516,"lng":-13.3158}#{"lat":-18.5064,"lng":-15.4872}#{"lat":-20.969,"lng":-19.2498}#{"lat":-20.8687,"lng":-21.7857}#{"lat":-18.1152,"lng":-24.0672}
SPoCA_v1.0_CH_0000039351;20230501;03:00:41;{"lat":-46.8809,"lng":-57.6062}#{"lat":-46.8397,"lng":-57.4382}#{"lat":-44.1169,"lng":-46.439}#{"lat":-40.3948,"lng":-43.2657}#{"lat":-39.637,"lng":-39.0158}#{"lat":-32.0027,"lng":-36.3152}#{"lat":-29.0175,"lng":-31.8843}#{"lat":-26.5726,"lng":-30.669}#{"lat":-26.9334,"lng":-24.3054}#{"lat":-25.4188,"lng":-19.7195}#{"lat":-26.3196,"lng":-17.5882}#{"lat":-28.7501,"lng":-17.7808}#{"lat":-30.5855,"lng":-19.7116}#{"lat":-32.7841,"lng":-19.6599}#{"lat":-43.3296,"lng":-15.192}#{"lat":-46.7829,"lng":-19.6483}#{"lat":-49.6804,"lng":-28.514}#{"lat":-53.112,"lng":-35.2093}#{"lat":-52.9791,"lng":-38.603}#{"lat":-55.4737,"lng":-44.8436}#{"lat":-55.2433,"lng":-50.8182}#{"lat":-51.2627,"lng":-51.6764}#{"lat":-43.694,"lng":-30.2367}#{"lat":-39.8734,"lng":-29.2256}#{"lat":-38.7285,"lng":-33.952}#{"lat":-39.8389,"lng":-36.3022}#{"lat":-42.3779,"lng":-37.8637}#{"lat":-45.1165,"lng":-45.7859}#{"lat":-47.3526,"lng":-49.8512}#{"lat":-49.0358,"lng":-57.9732}#{"lat":-46.8809,"lng":-57.6062}
SPoCA_v1.0_CH_0000039325;20230501;03:00:41;{"lat":42.3649,"lng":13.5493}#{"lat":42.4186,"lng":13.6114}#{"lat":39.854,"lng":18.0948}#{"lat":40.9576,"lng":21.45}#{"lat":44.8545,"lng":24.4325}#{"lat":41.0765,"lng":27.9126}#{"lat":42.4968,"lng":33.5665}#{"lat":37.0656,"lng":34.2467}#{"lat":34.3783,"lng":41.1214}#{"lat":29.222,"lng":41.9627}#{"lat":29.4401,"lng":49.6437}#{"lat":28.484,"lng":50.6825}#{"lat":29.3857,"lng":55.6288}#{"lat":26.8299,"lng":56.3063}#{"lat":24.9491,"lng":54.4768}#{"lat":22.7002,"lng":48.6354}#{"lat":25.2102,"lng":47.9932}#{"lat":23.3807,"lng":42.8029}#{"lat":23.1618,"lng":37.6287}#{"lat":26.3113,"lng":38.5202}#{"lat":27.1129,"lng":36.0878}#{"lat":30.5335,"lng":35.3186}#{"lat":31.3882,"lng":30.7874}#{"lat":35.9692,"lng":25.7923}#{"lat":36.5484,"lng":18.4392}#{"lat":34.2365,"lng":17.4864}#{"lat":32.3864,"lng":19.6217}#{"lat":31.7806,"lng":16.8121}#{"lat":42.3649,"lng":13.5493}
SPoCA_v1.0_CH_0000039362;20230501;03:00:41;{"lat":28.1886,"lng":19.2822}#{"lat":28.2337,"lng":19.3773}#{"lat":30.9581,"lng":20.9184}#{"lat":30.2198,"lng":22.5899}#{"lat":27.9383,"lng":21.0147}#{"lat":24.8537,"lng":22.6075}#{"lat":20.2249,"lng":22.5641}#{"lat":16.8009,"lng":21.362}#{"lat":13.7509,"lng":22.6736}#{"lat":12.7289,"lng":24.9518}#{"lat":9.73067,"lng":23.2361}#{"lat":14.4313,"lng":19.9129}#{"lat":28.1886,"lng":19.2822}
SPoCA_v1.0_CH_0000039417;20230501;03:00:41;{"lat":58.5252,"lng":9.32414}#{"lat":58.6058,"lng":9.41599}#{"lat":60.423,"lng":10.389}#{"lat":59.3774,"lng":16.0215}#{"lat":61.6311,"lng":23.6139}#{"lat":56.4396,"lng":23.4312}#{"lat":55.5224,"lng":9.94684}#{"lat":58.5252,"lng":9.32414}
SPoCA_v1.0_CH_0000039419;20230501;07:00:41;{"lat":7.91592,"lng":-51.9857}#{"lat":7.94948,"lng":-51.9324}#{"lat":11.2641,"lng":-45.8814}#{"lat":10.2286,"lng":-42.4104}#{"lat":4.9611,"lng":-40.5195}#{"lat":2.35302,"lng":-42.1048}#{"lat":-0.170963,"lng":-41.4797}#{"lat":-0.529081,"lng":-42.9929}#{"lat":0.392524,"lng":-44.0878}#{"lat":4.35296,"lng":-44.3508}#{"lat":5.23292,"lng":-48.534}#{"lat":7.91592,"lng":-51.9857}
